Time,Dataset,Repetition,SmoteMin,SmoteMax,RUS,Filter,Classifier,Tr_crIns,Tr_crIns%,Tr_incrIns,Tr_incrIns%,Tr_Kappa,Tr_meanAbs,Tr_rootMeanSq,Tr_relAbs,Tr_rootRelSq,Tr_NumIns,Tr_WA_TP,Tr_WA_FP,Tr_WA_Acc,Tr_WA_Recall,Tr_WA_F_M,Tr_WA_MCC,Tr_WA_ROC,Tr_WA_PRC,Te_crIns,Te_crIns%,Te_incrIns,Te_incrIns%,Te_Kappa,Te_meanAbs,Te_rootMeanSq,Te_relAbs,Te_rootRelSq,Te_NumIns,Te_WA_TP,Te_WA_FP,Te_WA_Acc,Te_WA_Recall,Te_WA_F_M,Te_WA_MCC,Te_WA_ROC,Te_WA_PRC,carToRetainWithClass
2020-9-29/12:3:42,brain_tumor1,1,Auto,100,0,None,Naive-Bayes,180,100,0,0,1,0,0,0,0,180,1,0,1,1,1,1,1,1,27,90,3,10,0.8,0.04,0.2,14.14,49.22,30,0.9,0.17,NaN,0.9,NaN,NaN,0.86,0.83,5921
2020-9-29/12:4:16,brain_tumor1,1,Auto,100,0,None,SVM,180,100,0,0,1,0.24,0.32,102.84,93,180,1,0,1,1,1,1,1,1,28,93.33,2,6.67,0.87,0.24,0.32,85.76,78.86,30,0.93,0.12,NaN,0.93,NaN,NaN,0.93,0.91,5921
2020-9-29/12:26:9,brain_tumor2,1,0,0,0,CFS,C4.5,34,100,0,0,1,0,0,0,0,34,1,0,1,1,1,1,1,1,8,50,8,50,0.3,0.25,0.5,67.86,116.61,16,0.5,0.16,0.52,0.5,0.5,0.35,0.67,0.45,96
2020-9-29/12:26:11,brain_tumor2,1,0,0,0,CFS,IB1,34,100,0,0,1,0.04,0.05,10.71,10.63,34,1,0,1,1,1,1,1,1,11,68.75,5,31.25,0.57,0.18,0.38,48.66,87.84,16,0.69,0.1,0.81,0.69,0.69,0.63,0.79,0.61,96
2020-9-29/12:26:10,brain_tumor2,1,0,0,0,CFS,Naive-Bayes,34,100,0,0,1,0,0,0,0,34,1,0,1,1,1,1,1,1,12,75,4,25,0.66,0.13,0.35,33.93,82.45,16,0.75,0.08,0.82,0.75,0.75,0.69,0.85,0.74,96
2020-9-29/12:26:12,brain_tumor2,1,0,0,0,CFS,SVM,34,100,0,0,1,0.25,0.31,67.86,72.72,34,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.5,0.28,0.36,76.34,83.59,16,0.63,0.11,0.75,0.63,0.6,0.55,0.89,0.65,96
2020-9-29/12:17:31,brain_tumor2,1,0,0,0,None,C4.5,34,100,0,0,1,0,0,0,0,34,1,0,1,1,1,1,1,1,11,68.75,5,31.25,0.55,0.16,0.4,42.41,92.19,16,0.69,0.15,0.71,0.69,0.68,0.56,0.77,0.56,10368
2020-9-29/12:18:6,brain_tumor2,1,0,0,0,None,IB1,34,100,0,0,1,0.04,0.05,10.71,10.63,34,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.48,0.21,0.41,56.25,96.11,16,0.63,0.14,0.7,0.63,0.63,0.51,0.74,0.53,10368
2020-9-29/12:18:4,brain_tumor2,1,0,0,0,None,Naive-Bayes,34,100,0,0,1,0,0,0,0,34,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.49,0.19,0.43,50.89,100.98,16,0.63,0.13,0.77,0.63,0.6,0.54,0.75,0.54,10368
2020-9-29/12:18:38,brain_tumor2,1,0,0,0,None,SVM,34,100,0,0,1,0.25,0.31,67.86,72.72,34,1,0,1,1,1,1,1,1,10,62.5,6,37.5,0.49,0.28,0.36,76.34,83.59,16,0.63,0.13,0.77,0.63,0.61,0.55,0.88,0.65,10368
